Table S1. oxLDL-induced differentially expressed genes in macrophages identified by single-cell transcriptomics,,,,,
gene,logFC,logCPM,F,PValue,P_adj
IL1RN,1.900351781,4.807032606,95.57828891,4.19084047398213e-08,6.17814917410814e-06
MS4A4A,-0.957709257,7.701859009,94.40285234,4.56095724452943e-08,6.62772244162191e-06
CDA,-1.147495607,6.249083014,93.80143784,4.76447648497117e-08,6.82595138100377e-06
PLTP,1.617204243,8.100905567,93.39438926,4.90802617638513e-08,6.93395031474854e-06
FDFT1,-1.676180311,4.990239579,92.67023947,5.17561567041993e-08,7.21183049308377e-06
FGL2,-1.2650093,5.492802516,91.74852604,5.5402984569414e-08,7.61566431135242e-06
EMB,-1.100337073,6.209981617,90.64011487,6.01776499746293e-08,8.16169407389239e-06
SLC26A11,1.443131312,4.422999726,89.84398851,6.38934304091528e-08,8.55163123844608e-06
LPL,1.431815369,4.516957013,89.65042501,6.48354739273611e-08,8.56501871154698e-06
RHOB,-1.308056693,5.069582819,89.25306269,6.68188241338754e-08,8.71385998833051e-06
ACAT2,-1.566355966,4.381289574,88.65763675,6.99200429442074e-08,9.00286932694275e-06
CD302,-0.906616474,6.591547676,86.91936262,7.99426048648645e-08,1.01647022085675e-05
PALM2-AKAP2,2.703343124,3.296819104,86.66176578,8.15613063108205e-08,1.0242488985107e-05
HDAC9,-1.691324833,3.8197761,84.94187961,9.3364973593475e-08,1.15818111145467e-05
PRXL2A,-1.206500477,5.34869848,84.74091564,9.48656413418408e-08,1.16261843822796e-05
S100A8,-2.116576616,4.600818849,84.36589161,9.77393269363422e-08,1.18357670666247e-05
ERG28,-1.332226851,4.868869443,83.33886305,1.061243895286e-07,1.26999681209991e-05
CTSC,-0.82991969,8.000687321,82.62595958,1.12421388144856e-07,1.32970972117381e-05
RND3,1.536196928,4.585740581,82.21072635,1.16282577469443e-07,1.3448288517571e-05
MRC2,1.227177303,5.203764567,82.20426549,1.16343825161841e-07,1.3448288517571e-05
RCSD1,-1.213381761,5.070741326,81.65798798,1.21656357619949e-07,1.39043648282036e-05
GAPT,-2.085135135,3.269973361,81.16460571,1.26690319967033e-07,1.42073959290415e-05
GIMAP4,-1.415107906,5.235117321,81.12531713,1.27101162951512e-07,1.42073959290415e-05
TRMT1,-1.094203824,5.675292012,79.93068344,1.40340120918662e-07,1.53628323284005e-05
BCL2L1,0.929468167,6.209182627,79.92058586,1.40458455224267e-07,1.53628323284005e-05
ARL4C,0.892489028,8.131133745,79.66180377,1.43529841948035e-07,1.5531761194632e-05
SREBF2,-1.602934088,4.172266238,78.84321653,1.5375502456942e-07,1.64631169465278e-05
RGCC,1.29795762,5.747238712,78.01652207,1.64922276844756e-07,1.7474889584009e-05
MT1X,-0.990583635,7.025300667,77.854981,1.67209585043232e-07,1.75345968975233e-05
ITGB7,2.513480646,2.720505245,76.44866513,1.88704753888912e-07,1.95867832301838e-05
ITGAX,0.89553749,7.008004092,75.75190079,2.00496230696056e-07,2.055684633373e-05
CCL3,0.816614403,8.087871782,75.66113743,2.02092472805053e-07,2.055684633373e-05
FADS2,-2.880616172,4.581310615,75.47976387,2.05325347036125e-07,2.06789052480343e-05
LTC4S,-1.802094356,3.700155382,75.03999993,2.13408616349993e-07,2.12822788775699e-05
GNG2,-1.081778552,5.41363541,74.56346321,2.22575174207696e-07,2.19809191460261e-05
UGCG,1.214965531,4.924726554,74.38400817,2.26141474271469e-07,2.21183757335517e-05
ACTN1,1.021405733,6.432617025,73.85905489,2.36949066373929e-07,2.29547228871962e-05
GATM,-0.810027145,6.693695031,73.49279128,2.44834300242609e-07,2.34948537930926e-05
PPARG,2.03950408,3.597915497,73.07563184,2.54177638158573e-07,2.41635040686823e-05
JAML,-1.122898756,4.858679264,72.77492763,2.61161949802729e-07,2.45975866054941e-05
AIF1,-0.670511708,10.76251843,72.30842058,2.72429471301049e-07,2.54234181841676e-05
CYSLTR1,-1.270828263,4.359650898,71.98601871,2.80536488696956e-07,2.59419742093221e-05
GIMAP7,-1.285992086,4.295049376,71.58509316,2.90999834407418e-07,2.66352079109447e-05
ACP2,0.894654674,6.076500161,71.5002478,2.93270083172022e-07,2.66352079109447e-05
SMCO4,0.988086473,5.212905943,71.09848389,3.04294872504059e-07,2.72784851414277e-05
PCSK6,1.694287961,4.587742682,71.04787666,3.05716408388002e-07,2.72784851414277e-05
LUCAT1,1.320817233,5.112347572,70.86776412,3.10836742118835e-07,2.74941855724591e-05
ASPH,0.786068768,6.827742299,70.39696044,3.24683595805544e-07,2.84020907014261e-05
HACD4,-1.13133028,5.019416211,70.33077066,3.26685471103702e-07,2.84020907014261e-05
SLC29A3,1.175490535,4.424299543,70.23264987,3.29678724574893e-07,2.84194236133543e-05
IDH1,-0.915321508,7.479753603,69.53019008,3.52033147458494e-07,3.00914384533428e-05
RAB32,-0.765949522,7.455243933,69.37722066,3.57124578042126e-07,3.02722600653709e-05
SEMA3C,1.989085402,3.279368395,68.55096938,3.86101659302232e-07,3.24580667638207e-05
LST1,-0.78322684,9.416767005,68.18787678,3.99666375197428e-07,3.33230030205593e-05
STAB1,-0.64240552,10.09522049,67.83544363,4.13348517018994e-07,3.41835863017659e-05
PNRC1,-0.796275311,6.824594634,67.58170166,4.23526180246254e-07,3.47428089150395e-05
EPAS1,1.091886504,6.445711553,66.61031017,4.65184738249405e-07,3.69676496677574e-05
HS3ST1,1.494746416,5.304036006,66.81756849,4.55922675679595e-07,3.69676496677574e-05
ALDH1A1,-0.822416534,7.053871229,66.73743526,4.59478844931976e-07,3.69676496677574e-05
NRGN,-1.542179132,3.880403815,66.65998169,4.62945827099093e-07,3.69676496677574e-05
MIR155HG,2.348379117,2.666705287,65.97356791,4.94993178517653e-07,3.90315551308649e-05
JUN,0.852711495,6.386207141,65.66492467,5.10212217674345e-07,3.96550740141767e-05
GAS6,-1.043589645,5.532837163,65.65525496,5.10697473049267e-07,3.96550740141767e-05
WLS,-1.12612529,5.202660692,65.52956099,5.17052721425185e-07,3.98443960783105e-05
CSTB,0.663217735,11.45757797,64.75069412,5.58478343363125e-07,4.2713095554058e-05
CD300A,1.270067429,4.837913842,64.17274523,5.91638850088863e-07,4.49115700231635e-05
PKIB,0.901898811,5.785412308,63.93835357,6.05715264415157e-07,4.5639523478748e-05
HK2,0.919023986,5.606944391,63.62028045,6.2542469947195e-07,4.67780885516814e-05
FCN1,-0.91219604,6.672608471,63.00040803,6.65947415009047e-07,4.9429253326721e-05
ADAM8,1.200466977,6.205107643,62.93212234,6.70589555553235e-07,4.9429253326721e-05
C1QB,-1.096786913,6.037189995,62.47811287,7.02397105391896e-07,5.14013191082472e-05
NCEH1,0.837434943,6.073010219,61.93566782,7.42651582235927e-07,5.37885737967966e-05
ACADVL,0.907728139,5.945369648,61.89731526,7.4559466234254e-07,5.37885737967966e-05
TXNIP,-1.189457161,7.804237974,61.25897893,7.96560882985412e-07,5.62860348175723e-05
GPR155,-0.892671889,5.281047735,61.2287471,7.99070278570417e-07,5.62860348175723e-05
SOX4,1.064526521,4.432605374,61.3818111,7.86456125319205e-07,5.62860348175723e-05
PDK4,1.696409533,4.928427603,61.18943,8.02347134147462e-07,5.62860348175723e-05
FCGR3A,0.759303231,7.284673808,60.01626243,9.07453670197978e-07,6.32234159811906e-05
HRH1,-1.324415543,3.8743056,59.84641942,9.2391923579217e-07,6.33028529347303e-05
GIMAP5,-0.986456877,5.26202879,59.81233919,9.27263575233466e-07,6.33028529347303e-05
KCNN4,1.086240206,4.851732928,59.81917139,9.26592030319106e-07,6.33028529347303e-05
SLAMF9,2.963600479,2.594143476,59.65105087,9.43277206351297e-07,6.35431506159298e-05
