TableS4 TF-DORC pairs with strong cis-regulations,,,,,,,,,
DORC,TF,Enrichment.Z,Enrichment.P,Enrichment.log10P,Corr,Corr.Z,Corr.P,Corr.log10P,Score
CLIP4,CEBPB,5.094418853,3.50E-07,6.456164522,0.235921849,2.175761887,0.02957307,1.52910359,1.529098605
CLIP4,GLI3,3.617155437,0.000297858,3.525990077,0.266315861,2.486177816,0.012912343,1.888994948,1.879217022
CLIP4,NR1H3,2.686901767,0.007211816,2.14195537,0.265005635,2.472796394,0.01340605,1.872699178,1.687797596
CLIP4,TRPS1,2.586332857,0.00970032,2.013213919,-0.355985758,-3.869427267,0.000109091,-3.96220981,-2.008403889
HLA-DPB1,NR1H2,2.465874193,0.013667933,1.864297158,0.23005305,2.372888031,0.017649613,1.753264803,1.507570517
LGMN,FOS,6.350858486,2.14E-10,9.669349632,-0.190195581,-2.429762513,0.015108719,-1.820772353,-1.820772347
LGMN,CEBPB,3.332880188,0.000859519,3.065744279,0.272833141,2.783644279,0.005375195,2.269605778,2.205505375
MALAT1,THRA,3.164000833,0.001556164,2.807944775,0.201954343,2.90048415,0.003725867,2.428772675,2.277676096
MFSD12,FOS,9.022411491,1.84E-19,18.73519719,-0.237798767,-2.614477081,0.008936416,-2.048836643,-2.048836643
MFSD12,MSC,2.456425043,0.014032707,1.852858533,0.26692971,2.607217016,0.009128149,2.039617295,1.637653954
PGBD5,FOS,10.26233694,1.04E-24,23.98231953,-0.185913953,-2.384381209,0.01710787,-1.766804051,-1.766804051
PGBD5,JUND,9.908007253,3.84E-23,22.41540516,0.236420198,2.681218528,0.00733546,2.134572672,2.134572672
PGBD5,ZBTB20,2.558050439,0.010526082,1.977733237,-0.198717573,-2.537951578,0.011150341,-1.952711848,-1.666370299
ACTN1,FOS,8.653909113,4.98E-18,17.30307735,-0.285273822,-3.090626905,0.001997344,-2.69954706,-2.69954706
ACTN1,JUNB,8.626715057,6.31E-18,17.19970079,-0.218518408,-2.406436106,0.016109022,-1.792930835,-1.792930835
ACTN1,FOSL2,8.231855439,1.84E-16,15.73439071,0.228759677,2.177814522,0.029419848,1.531359571,1.531359571
ACTN1,THRB,3.191781061,0.001413985,2.849555297,0.326805598,3.182708553,0.001459044,2.835931618,2.541972013
ACTN1,NR1H3,2.793235439,0.00521837,2.282465169,0.23784753,2.270957905,0.023149526,1.63545789,1.549026239
BCAR1,CEBPB,6.542030359,6.07E-11,10.21688874,0.245861039,2.398309877,0.016470925,1.783282021,1.78328202
BCAR1,THRA,3.421578711,0.000622587,3.205799944,0.228173237,2.206753772,0.027331266,1.563340246,1.553822763
BCAR1,TRPS1,2.484386023,0.012977504,1.886808815,-0.34075586,-3.954658866,7.66E-05,-4.115522233,-1.884284548
CDCA3,KLF4,3.447214393,0.000566399,3.246877584,0.315741385,2.482062314,0.013062443,1.883975591,1.86577687
CNIH3,FOS,8.991617558,2.44E-19,18.61329039,-0.399519826,-3.611612927,0.000304299,-3.516700154,-3.516700154
CNIH3,JUNB,8.652158279,5.05E-18,17.2964121,-0.263089127,-2.447680717,0.0143779,-1.842304535,-1.842304535
CNIH3,POU3F1,2.805638054,0.005021706,2.299148676,0.29089298,2.278510872,0.022696157,1.644047664,1.559029704
FLNB,FOS,8.31503262,9.17E-17,16.03750264,-0.183913104,-2.494805447,0.012602621,-1.899539133,-1.899539133
FLNB,GLI3,3.316443126,0.000911711,3.040142605,0.205764325,2.265074884,0.023508085,1.628782755,1.612639303
FLNB,CREB3,3.160471582,0.00157514,2.802680923,0.212799868,2.351013508,0.018722354,1.727639544,1.693189028
FLNB,ATF4,2.284454605,0.022344828,1.650822992,0.238623897,2.666452069,0.007665654,2.115450807,1.525212919
ITGA3,FOS,9.257778514,2.09E-20,19.68041599,-0.360072862,-3.380494876,0.000723554,-3.140528906,-3.140528906
ITGA3,MSANTD3,3.507550486,0.000452253,3.344618995,0.313231476,2.492091632,0.012699327,1.896219293,1.881211781
ITGA3,THRB,3.322380035,0.00089253,3.049376976,0.444755886,3.639252631,0.00027343,3.563153115,2.933406936
ITGA3,ATF4,3.023986027,0.00249468,2.602985223,0.281789853,2.217856585,0.026564613,1.575696515,1.537706516
MADD,FOS,7.809421428,5.75E-15,14.24070165,-0.317714709,-3.482815847,0.00049617,-3.304369897,-3.304369897
MADD,KLF8,3.539243016,0.000401276,3.396556533,0.342322257,3.26475515,0.001095587,2.960352977,2.824945332
MADD,CEBPD,2.879203085,0.003986815,2.399373905,-0.245208385,-2.741582264,0.006114405,-2.213645814,-1.996675513
NMRK2,FOS,6.194830755,5.83E-10,9.23397632,-0.220986944,-2.643991234,0.008193478,-2.086531719,-2.086531688
NMRK2,GLI3,3.606188971,0.000310727,3.507621155,0.233319549,2.322046085,0.020230454,1.693994365,1.687507513
PKD1L1,FOS,8.137647362,4.03E-16,15.39465972,-0.343160344,-3.357116812,0.000787598,-3.103695228,-3.103695228
PKD1L1,KLF8,2.458679372,0.01394491,1.855584297,0.325875936,2.838353842,0.004534688,2.343452571,1.734796158
PKD1L1,NR1H3,2.309721435,0.020903581,1.679779302,0.296215706,2.563691485,0.010356556,1.984784659,1.508027252
PKD1L1,ZNF711,2.234964137,0.025419703,1.594829523,0.326683493,2.845832057,0.004429555,2.353639905,1.526707809
STUM,FOS,7.73143814,1.06E-14,13.97331009,-0.248004275,-2.792686485,0.005227233,-2.281728161,-2.281728161
STUM,ZNF711,2.462521962,0.013796372,1.860235094,0.292145991,2.586648909,0.009691428,2.013612205,1.631636972
TRIM54,FOS,8.182085224,2.79E-16,15.55443685,-0.302318066,-2.974986398,0.002930015,-2.533130098,-2.533130098
TRIM54,GLI3,3.443197606,0.000574879,3.240423484,0.272476007,2.237566855,0.025249315,1.597750399,1.5882174
TRIM54,ATF4,2.892619195,0.003820442,2.417886401,0.299800049,2.485356511,0.012942175,1.887992731,1.776941115
TSC22D1,FOS,8.499469677,1.90E-17,16.72019896,-0.379622512,-3.461638558,0.000536898,-3.270108478,-3.270108478
TSC22D1,KLF8,2.53899033,0.01111729,1.954001082,0.331026569,2.617787807,0.008850182,2.053047797,1.701822207
TSC22D1,THRB,2.239201525,0.025142807,1.599586243,0.462062392,3.738766722,0.000184925,3.733003845,1.596483432
CCNF,KLF4,3.926780143,8.61E-05,4.065044228,0.240617059,2.185988876,0.028816419,1.540359987,1.539101722
GAL,FOS,5.619297661,1.92E-08,7.717297971,-0.244513937,-2.696935769,0.006998077,-2.1550213,-2.155020119
GAL,GLI3,3.443085638,0.000575117,3.24024367,0.296819665,2.700610634,0.006921231,2.159816635,2.125380901
GAL,KLF7,2.725427494,0.006421828,2.192341334,-0.307668673,-3.32664103,0.000878995,-3.056013459,-2.136964079
GLIS3,FOSL1,8.791456304,1.48E-18,17.83081466,0.287127005,2.486886089,0.012886665,1.889859448,1.889859448
GLIS3,JUND,8.447428515,2.98E-17,16.52609122,0.288123262,2.495731629,0.012569766,1.900672807,1.900672807
GLIS3,JDP2,8.314500918,9.21E-17,16.03555561,0.389649624,3.397161583,0.000680887,3.166924647,3.166924647
GLIS3,TEAD4,2.946858457,0.003210201,2.493467762,0.288301108,2.497310687,0.012513926,1.902606405,1.804544406
GLIS3,RUNX1,2.297388814,0.021596599,1.665614629,0.420582364,3.671806491,0.000240842,3.618267741,1.660901704
MATK,NR1H3,2.843324703,0.004464556,2.350221715,0.266654655,3.144011408,0.001666489,2.778197437,2.212992803
NAV1,JUND,8.370406813,5.74E-17,16.24093942,0.288787219,2.843582829,0.004460941,2.350573493,2.350573493
