TableS4 TF-DORC pairs with strong cis-regulations,,,,,,,,,
DORC,TF,Enrichment.Z,Enrichment.P,Enrichment.log10P,Corr,Corr.Z,Corr.P,Corr.log10P,Score
ATP2B2,KLF4,2.39454,0.01664124,1.778814,-0.2530809,-2.613511,0.008961709,-2.047609,-1.594247
ATP2B2,KLF7,2.342211,0.01916988,1.717381,-0.2583155,-2.663671,0.007729307,-2.111859,-1.57266
CD52,FOS,5.617066,1.94E-08,7.711689,-0.1866122,-2.289121,0.02207234,-1.656152,-1.656151
CD52,CEBPB,5.148894,2.62E-07,6.581655,0.2837051,2.67369,0.007502173,2.124813,2.124798
CD52,JDP2,3.554505,0.000378691,3.421715,-0.1758025,-2.175056,0.0296259,-1.528328,-1.522975
CD52,GLI3,2.714013,0.006647354,2.177351,0.2802068,2.636775,0.008369827,2.077284,1.825024
CHI3L1,FOS,8.020153,1.06E-15,14.97628,-0.2743467,-3.065566,0.002172586,-2.663023,-2.663023
CHI3L1,KLF4,3.27837,0.001044086,2.981264,-0.2108679,-2.422953,0.0153949,-1.812623,-1.78455
CHI3L1,GLI3,2.813297,0.004903632,2.309482,0.2890782,2.638128,0.008336511,2.079016,1.87945
EGR2,FOS,6.849121,7.43E-12,11.12898,-0.290874,-2.831282,0.004636177,-2.33384,-2.33384
FDX1,FOS,7.59397,3.10E-14,13.50829,-0.368479,-3.445469,0.000570069,-3.244073,-3.244073
FUCA1,FOS,6.725089,1.75E-11,10.75576,-0.2974753,-3.377279,0.000732067,-3.135449,-3.135449
FUCA1,KLF7,2.178725,0.02935207,1.532361,-0.3217016,-3.631054,0.000282266,-3.549341,-1.528326
FYN,FOS,9.329815,1.06E-20,19.97447,-0.3288207,-3.232767,0.001225973,-2.911519,-2.911519
FYN,ATF4,4.985605,6.18E-07,6.209235,0.2677458,2.22438,0.02612286,1.582979,1.582969
FYN,THRB,3.188916,0.001428074,2.845249,0.3904722,3.347031,0.00081682,3.087874,2.64903
HIST1H1E,E2F2,2.206379,0.02735749,1.562924,0.4160283,3.149398,0.00163607,2.786198,1.538369
PPFIBP1,JUND,9.575531,1.01E-21,20.99424,0.3004864,2.650721,0.008032021,2.095175,2.095175
PPFIBP1,FOS,9.307206,1.31E-20,19.88194,-0.2264098,-2.308219,0.02098695,-1.678051,-1.678051
PPFIBP1,TEAD4,3.515214,0.0004394,3.35714,0.2481818,2.15845,0.03089283,1.510142,1.504197
PPFIBP1,ZBTB20,2.833518,0.004603871,2.336877,-0.2990878,-2.992235,0.002769427,-2.55761,-2.13309
RFX8,JUND,9.053604,1.38E-19,18.8591,0.3015294,3.167536,0.001537368,2.813222,2.813222
RFX8,JDP2,8.740782,2.32E-18,17.63544,0.2123183,2.192004,0.02837922,1.546999,1.546999
RFX8,NFE2L2,5.085619,3.66E-07,6.43601,-0.1871798,-2.176544,0.02951457,-1.529964,-1.529958
RFX8,ATF4,3.226293,0.00125405,2.901685,0.232632,2.414136,0.01577258,1.802097,1.769376
RFX8,RUNX1,2.681635,0.007326333,2.135113,0.2240474,2.320263,0.02032667,1.691934,1.560603
SPC24,KLF4,3.448316,0.000564094,3.248649,0.3254237,2.573349,0.01007196,1.996886,1.973452
STOX2,GLI3,4.430362,9.41E-06,5.026525,0.2466876,2.637127,0.008361157,2.077734,2.077249
STOX2,MXD1,2.944372,0.003236112,2.489976,-0.1901613,-2.560426,0.01045438,-1.980702,-1.864655
STOX2,ZNF302,2.922805,0.003468941,2.459803,0.2624411,2.824558,0.004734585,2.324718,2.08687
SYNJ2,FOS,9.791914,1.22E-22,21.91377,-0.2729547,-2.760317,0.005774525,-2.238484,-2.238484
SYNJ2,FOSL1,8.203682,2.33E-16,15.63239,0.3043903,2.795917,0.005175262,2.286068,2.286068
SYNJ2,ATF4,3.090098,0.002000904,2.698774,0.2916436,2.673246,0.007512105,2.124238,2.022369
TGM2,FOS,7.986795,1.38E-15,14.85857,-0.3416152,-3.443444,0.000574355,-3.24082,-3.24082
TGM2,ZNF711,2.991514,0.002775982,2.556583,0.2844825,2.426749,0.01523478,1.817164,1.745489
TIMP3,FOS,6.745334,1.53E-11,10.81623,-0.306552,-3.192751,0.001409246,-2.851013,-2.851013
TIMP3,GLI3,3.606181,0.000310736,3.507608,0.2795847,2.397913,0.01648876,1.782812,1.774836
TIMP3,ZNF480,3.357783,0.000785702,3.104742,-0.2746939,-2.888883,0.003866134,-2.412723,-2.332659
TIMP3,MITF,3.23187,0.001229829,2.910155,0.2937551,2.533073,0.01130675,1.946662,1.902303
TIMP3,NR6A1,3.011505,0.002599565,2.585099,-0.2696447,-2.840723,0.004501143,-2.346677,-2.149415
TIMP3,NR1H3,2.317565,0.02047296,1.688819,0.3166313,2.75127,0.005936474,2.226471,1.580244
ALPL,KLF8,2.701426,0.006904292,2.160881,0.2689251,2.380069,0.01730937,1.761719,1.618088
ALPL,KLF7,2.672524,0.007528294,2.123303,-0.2890743,-3.123733,0.001785727,-2.748185,-2.03149
ALPL,CEBPB,2.547455,0.0108512,1.964522,0.2730604,2.420857,0.01548395,1.810118,1.582244
BCL2A1,JUNB,6.832699,8.33E-12,11.07919,-0.220089,-2.326456,0.01999425,-1.699095,-1.699095
BCL2A1,FOS,6.32201,2.58E-10,9.588073,-0.3025582,-3.114621,0.001841815,-2.734754,-2.734754
BCL2A1,ZNF711,3.23299,0.001225018,2.911858,0.2869475,2.519337,0.0117576,1.929681,1.88712
BCL2A1,GLI3,3.076178,0.002096729,2.678458,0.270952,2.366467,0.01795877,1.745723,1.698583
BCL2A1,THRB,2.735202,0.006234196,2.20522,0.3434118,3.058972,0.002220978,2.653456,2.073589
BCL2A1,NR1H3,2.634474,0.008426766,2.074339,0.3075311,2.716057,0.006606454,2.180032,1.824559
DENND4C,FOS,6.768171,1.30E-11,10.88466,-0.3922922,-3.640094,0.000272539,-3.564572,-3.564572
DENND4C,JUNB,6.591254,4.36E-11,10.36039,-0.3020684,-2.852211,0.004341633,-2.362347,-2.362347
DENND4C,THRB,2.294893,0.02173928,1.662755,0.427798,3.521379,0.000429309,3.367231,1.654445
DENND4C,MITF,2.23952,0.02512213,1.599944,0.3748301,3.058835,0.002221997,2.653256,1.564023
FABP4,JUNB,6.878708,6.04E-12,11.21898,-0.2213935,-2.283949,0.02237454,-1.650246,-1.650246
FABP4,FOS,5.906174,3.50E-09,8.455753,-0.3448268,-3.438474,0.000585003,-3.232842,-3.232839
FABP4,ZNF711,2.87268,0.004070065,2.390399,0.2861366,2.4632,0.01377031,1.861056,1.749963
FLRT2,FOSL1,9.946531,2.61E-23,22.58315,0.2883432,2.312351,0.02075835,1.682807,1.682807
FLRT2,FOS,9.821174,9.13E-23,22.03965,-0.3018677,-2.867225,0.004140886,-2.382907,-2.382907
FLRT2,ATF4,3.125481,0.001775143,2.750767,0.2989436,2.405378,0.01615573,1.791673,1.747094
H2AFX,KLF4,3.287255,0.001011691,2.994952,0.3020707,2.538782,0.0111239,1.953743,1.916342
H2AFX,FLI1,2.389517,0.01687053,1.772871,0.3355796,2.812209,0.004920247,2.308013,1.663385
HK2,JUNB,5.649146,1.61E-08,7.792508,-0.231334,-2.684631,0.007260989,-2.139004,-2.139003
HK2,FOS,4.991109,6.00E-07,6.221606,-0.2454776,-2.834493,0.004589849,-2.338202,-2.338145
HK2,GLI3,3.599067,0.000319361,3.495719,0.2286873,2.189594,0.0285537,1.544338,1.539644
HK2,ZNF711,3.012646,0.002589806,2.586733,0.2294855,2.198051,0.02794545,1.553689,1.516229
HTRA4,FOS,7.08332,1.41E-12,11.85158,-0.3188875,-3.20589,0.001346457,-2.870808,-2.870808
HTRA4,POU3F1,2.623031,0.008715123,2.059726,0.2852909,2.465805,0.01367058,1.864213,1.652347
HTRA4,KLF8,2.59295,0.009515659,2.021561,0.3438247,3.015288,0.002567354,2.590514,1.918704
HTRA4,ZNF711,2.544623,0.01093958,1.960999,0.2869113,2.481016,0.01310084,1.882701,1.621655
IARS,FOS,6.758863,1.39E-11,10.85674,-0.2857897,-3.038949,0.002374054,-2.624509,-2.624509
IARS,NR6A1,2.419927,0.01552364,1.809007,-0.2476953,-2.670819,0.007566649,-2.121096,-1.638786
ITGB5,FOS,10.23042,1.45E-24,23.83895,-0.2283778,-2.198249,0.0279314,-1.553907,-1.553907
ITGB5,JUNB,9.50231,2.05E-21,20.68764,-0.2461202,-2.366544,0.01795503,-1.745814,-1.745814
ITGB5,FOSL1,9.391629,5.91E-21,20.22856,0.2483846,2.324102,0.02012002,1.696372,1.696372
ITGB5,JUND,8.966875,3.05E-19,18.51564,0.2474801,2.315522,0.0205844,1.686462,1.686462
ITGB5,JDP2,7.463894,8.40E-14,13.07571,0.3182619,2.986926,0.002817977,2.550063,2.550063
ITPKB,FOS,6.825172,8.78E-12,11.0564,-0.2759239,-2.92994,0.003390274,-2.469765,-2.469765
ITPKB,NR6A1,2.476166,0.01328017,1.876796,-0.2653027,-2.827894,0.004685527,-2.329242,-1.747063
LINC01010,FOS,7.857382,3.92E-15,14.40644,-0.312312,-3.305022,0.00094969,-3.022418,-3.022418
LINC01010,ATF4,4.122001,3.76E-05,4.425279,0.2599927,2.28322,0.02241741,1.649415,1.648704
MICAL3,FOS,6.051412,1.44E-09,8.842902,-0.177146,-2.165359,0.03036024,-1.517695,-1.517695
MICAL3,ATF4,3.561273,0.000369061,3.432902,0.2213887,2.215914,0.02669742,1.573531,1.567726
MICAL3,GLI3,2.537358,0.01116926,1.951976,0.2728879,2.782067,0.005401383,2.267495,1.782245
NOS1AP,FOS,9.171287,4.67E-20,19.33031,-0.3379593,-3.316817,0.000910492,-3.040724,-3.040724
NOS1AP,KLF8,2.443989,0.01452588,1.837858,0.29481,2.441798,0.01461433,1.835221,1.538683
RNASE1,JUNB,8.89592,5.79E-19,18.23704,-0.1951448,-2.251461,0.02435633,-1.613388,-1.613388
RNASE1,FOS,8.743042,2.27E-18,17.64413,-0.2470908,-2.803867,0.005049378,-2.296762,-2.296762
RNASE1,ESRRA,2.574842,0.0100286,1.99876,0.242294,2.400363,0.01637882,1.785717,1.580984
SDC2,FOS,5.699154,1.20E-08,7.919361,-0.2571999,-2.638791,0.008320225,-2.079865,-2.079864
SDC2,JUNB,5.334596,9.58E-08,7.018828,-0.2698923,-2.764931,0.005693479,-2.244622,-2.244615
SDC2,FOSL2,5.07312,3.91E-07,6.407439,0.2401567,2.304051,0.02121978,1.673259,1.673251
SDC2,FOSL1,4.400312,1.08E-05,4.966194,0.2278026,2.181272,0.02916327,1.535164,1.535007
SDC2,JDP2,4.309396,1.64E-05,4.785948,0.2963008,2.862023,0.004209462,2.375773,2.374095
SDC2,TFEC,2.381777,0.01722934,1.763731,-0.2529502,-2.596556,0.009416349,-2.026117,-1.577025
SDC2,THRB,2.315015,0.02061213,1.685877,0.2967114,2.866104,0.004155583,2.381368,1.607619
SDC2,CREB5,2.255289,0.02411518,1.617709,0.3954167,3.847059,0.000119544,3.922472,1.615614
SLAMF7,FOS,8.947532,3.64E-19,18.43947,-0.2858997,-3.015959,0.002561681,-2.591475,-2.591475
SLAMF7,MAF,2.961657,0.003059886,2.514295,-0.2479198,-2.650913,0.008027452,-2.095422,-1.956136
SLC25A29,FOS,5.379923,7.45E-08,7.127741,-0.2254584,-2.631608,0.008498176,-2.070674,-2.070671
SLC25A29,GLI3,3.891787,9.95E-05,4.002139,0.2647683,2.456362,0.01403516,1.852783,1.849757
SLC25A29,KLF7,2.724829,0.006433479,2.191554,-0.2625696,-3.016779,0.002554764,-2.592649,-2.04712
TDRD9,FOS,7.205703,5.77E-13,12.23848,-0.25483,-2.937347,0.00331033,-2.480129,-2.480129
TDRD9,ATF4,3.740117,0.000183935,3.735336,0.2537941,2.308652,0.02096288,1.678549,1.674834
TDRD9,ZNF711,2.775436,0.005512777,2.25863,0.2665613,2.440335,0.01467364,1.833462,1.696685
TNFRSF12A,GLI3,6.024332,1.70E-09,8.770039,0.2173226,2.422656,0.01540751,1.812268,1.812268
TNFRSF12A,CEBPB,5.285275,1.26E-07,6.901301,0.2092422,2.323268,0.02016476,1.695407,1.695404
TNFRSF12A,MXD1,3.059718,0.002215455,2.654537,-0.2541933,-3.376998,0.000732816,-3.135005,-2.530672
TNFRSF12A,NFAT5,2.193658,0.02826002,1.548828,-0.2703965,-3.576297,0.000348496,-3.457802,-1.543654
ASAP1,FOS,9.178002,4.39E-20,19.35737,-0.3449692,-3.329085,0.000871318,-3.059823,-3.059823
AURKB,TRPS1,2.640825,0.008270437,2.082472,0.2461965,2.294628,0.02175447,1.662451,1.525129
AUTS2,FOS,9.067361,1.22E-19,18.91388,-0.4382244,-3.946624,7.93E-05,-4.100941,-4.100941
AUTS2,JUNB,8.789206,1.51E-18,17.82211,-0.2844223,-2.621788,0.008746977,-2.058142,-2.058142
AUTS2,TRPS1,2.34109,0.01922752,1.716077,-0.3836788,-3.476773,0.000507487,-3.294575,-1.704977
AUTS2,THRB,2.242986,0.02489769,1.603841,0.5645974,4.691581,2.71E-06,5.566867,1.603795
CCDC88A,FOSL1,8.776613,1.68E-18,17.77347,0.2136806,2.545793,0.01090298,1.962455,1.962455
CCDC88A,BBX,2.575312,0.01001497,1.99935,-0.1828662,-2.555677,0.01059813,-1.974771,-1.688099
CCL22,FOS,5.360241,8.31E-08,7.080342,-0.2158249,-2.573175,0.01007701,-1.996668,-1.996665
CCL22,GLI3,4.125582,3.70E-05,4.432036,0.2404639,2.300184,0.02143779,1.66882,1.668087
CCL22,CEBPB,3.416914,0.000633352,3.198355,0.2642022,2.55372,0.0106579,1.972328,1.947518
CCL3,NFKB1,3.310172,0.000932388,3.030404,0.3295827,3.429902,0.000603799,3.219108,2.813715
CCL3,RELB,3.044325,0.00233203,2.632266,0.2239387,2.324325,0.02010811,1.696629,1.649883
CCL3,JUND,2.271783,0.02309961,1.636395,0.2726309,2.833895,0.004598446,2.337389,1.55922
CEP70,FOS,7.034526,2.00E-12,11.6991,-0.2599021,-2.954066,0.003136166,-2.503601,-2.503601
CEP70,GLI3,3.528332,0.000418187,3.378629,0.2467545,2.327971,0.01991367,1.700849,1.692001
CEP70,CEBPB,3.236556,0.001209815,2.917281,0.2498972,2.360735,0.01823877,1.739004,1.711605
CEP70,KLF8,2.309543,0.02091348,1.679574,0.3009639,2.893119,0.003814364,2.418578,1.608217
CKB,FOS,5.702863,1.18E-08,7.928812,-0.2023247,-2.622909,0.008718261,-2.05957,-2.05957
CKB,ATF4,4.716354,2.40E-06,5.619592,0.2385682,2.408931,0.01599934,1.795898,1.795834
CKB,KLF7,2.224442,0.02611873,1.583048,-0.2521769,-3.191863,0.001413584,-2.849678,-1.56074
CKB,TRPS1,2.199346,0.02785336,1.555122,-0.406776,-4.956278,7.19E-07,-6.143534,-1.555112
CSF1,JUNB,10.15867,3.03E-24,23.51827,-0.246531,-2.316115,0.02055197,-1.687146,-1.687146
CSF1,FOS,9.595061,8.39E-22,21.07641,-0.3627847,-3.318334,0.000905561,-3.043083,-3.043083
CSF1,FOSL2,9.135082,6.54E-20,19.18471,0.272783,2.160873,0.03070512,1.512789,1.512789
CSF1,FOSL1,8.78264,1.60E-18,17.79674,0.29781,2.376631,0.01747158,1.757668,1.757668
CSF1,ATF4,3.532899,0.00041103,3.386127,0.2788649,2.213306,0.02687659,1.570626,1.56421
CSF1,THRB,2.22722,0.0259326,1.586154,0.3939675,3.205601,0.001347806,2.870373,1.564706
DAB2,FOS,6.558612,5.43E-11,10.26511,-0.2968287,-3.531056,0.000413905,-3.383099,-3.383099
DAB2,GLI3,2.962103,0.003055451,2.514925,0.2374175,2.355345,0.01850553,1.732699,1.667472
DAB2,KLF8,2.45739,0.01399505,1.854025,0.2827144,2.854432,0.004311388,2.365383,1.73883
EPB41L1,JUNB,7.775625,7.51E-15,14.1245,-0.2868704,-2.690557,0.007133292,-2.14671,-2.14671
EPB41L1,FOS,7.407007,1.29E-13,12.8888,-0.4080833,-3.725474,0.000194949,-3.71008,-3.71008
EPB41L1,ZNF711,3.132002,0.001736187,2.760403,0.3310452,2.585214,0.009731869,2.011804,1.941151
EPB41L1,KLF4,2.251365,0.02436245,1.613279,-0.2931409,-2.744095,0.006067806,-2.216968,-1.518809
FABP5,JUNB,8.479145,2.27E-17,16.64425,-0.3054575,-2.773707,0.005542165,-2.256321,-2.256321
FABP5,FOS,7.704287,1.32E-14,13.88082,-0.3722119,-3.345952,0.000820006,-3.086183,-3.086183
FABP5,THRB,2.547389,0.01085325,1.96444,0.4601617,3.789495,0.000150954,3.821155,1.958506
GREM1,JUNB,9.884337,4.87E-23,22.31266,-0.2639199,-2.461449,0.01383772,-1.858935,-1.858935
GREM1,FOS,9.707425,2.80E-22,21.55233,-0.3724521,-3.393651,0.000689675,-3.161356,-3.161356
GREM1,MSANTD3,3.21296,0.001313746,2.881489,0.2978328,2.363542,0.01810117,1.742293,1.712397
GREM1,ATF4,2.936542,0.003318939,2.479001,0.2910486,2.305272,0.02115134,1.674662,1.612609
LINC00504,GLI3,3.950352,7.80E-05,4.107703,0.2236601,2.505576,0.01222522,1.912743,1.910014
LINC00504,GLIS3,2.834724,0.004586536,2.338515,-0.2055608,-2.560877,0.01044082,-1.981265,-1.824504
LINC00504,CEBPB,2.544261,0.01095092,1.96055,0.2183009,2.442317,0.01459333,1.835845,1.595432
NR4A3,FOS,8.998916,2.28E-19,18.64215,-0.3100431,-3.15444,0.001608066,-2.793696,-2.793696
PAQR5,FOS,8.003402,1.21E-15,14.91711,-0.2991955,-3.315152,0.000915932,-3.038137,-3.038137
PAQR5,MSANTD3,3.303827,0.000953746,3.020567,0.2309427,2.19117,0.02843952,1.546078,1.532153
PDE3B,FOS,5.294161,1.20E-07,6.9224,-0.248999,-2.881965,0.003952031,-2.40318,-2.403167
PDE3B,NR6A1,2.941125,0.003270227,2.485422,-0.3015922,-3.428495,0.000606938,-3.216856,-2.411708
PHLDA1,FOS,8.206675,2.27E-16,15.64321,-0.26737,-2.541434,0.01103988,-1.957036,-1.957036
PHLDA1,FOSL1,8.056997,7.82E-16,15.10684,0.2918675,2.387272,0.01697394,1.770217,1.770217
PHLDA1,DBP,2.707753,0.006774051,2.169152,-0.233916,-2.246595,0.02466594,-1.607902,-1.504832
PSD3,JUNB,11.57065,5.80E-31,30.23625,-0.2794726,-2.523338,0.01162467,-1.934619,-1.934619
PSD3,FOSL2,10.6939,1.09E-26,25.96378,0.2882605,2.236482,0.0253202,1.596533,1.596533
PSD3,FOS,10.48161,1.05E-25,24.97903,-0.3806053,-3.371224,0.00074835,-3.125895,-3.125895
PSD3,FOSL1,8.982794,2.64E-19,18.57843,0.3222124,2.521132,0.0116978,1.931896,1.931896
PSD3,ATF4,4.139287,3.48E-05,4.457938,0.3138209,2.450778,0.01425478,1.846039,1.844994
PSD3,CREB5,2.668389,0.007621601,2.117954,0.3048481,2.375551,0.01752276,1.756397,1.601872
RAB6B,FOS,8.895276,5.83E-19,18.23452,-0.3470985,-3.383248,0.000716339,-3.144882,-3.144882
RAB6B,GLI3,3.935179,8.31E-05,4.080218,0.2665451,2.18223,0.02909259,1.536218,1.535014
RAB6B,NR6A1,3.601414,0.000316491,3.499639,-0.3090704,-3.03835,0.002378778,-2.623646,-2.569519
RPS11,KLF4,3.289634,0.001003178,2.998622,0.2532089,2.318029,0.02044774,1.689355,1.66897
SLC1A4,JDP2,6.056915,1.39E-09,8.857745,-0.1562253,-2.273141,0.02301771,-1.637938,-1.637938
SLC1A4,DDIT3,3.382715,0.00071773,3.144039,0.2066085,2.479798,0.01314568,1.881217,1.858426
SLC1A4,GLI3,3.04445,0.002331061,2.632446,0.196498,2.347356,0.0189072,1.723373,1.673783
SLC1A4,TRPS1,2.57205,0.01010984,1.995256,-0.2822395,-3.923863,8.71E-05,-4.059781,-1.991566
TOP2A,KLF4,2.922812,0.003468854,2.459814,0.2589714,2.282704,0.02244779,1.648826,1.587728
USP2,FOS,6.176157,6.57E-10,9.182563,-0.2466725,-2.891879,0.003829449,-2.416864,-2.416864
USP2,GLI3,4.012998,6.00E-05,4.222194,0.2611137,2.493757,0.0126399,1.898256,1.896227
USP2,CEBPB,3.314194,0.000919077,3.036648,0.2328209,2.193681,0.02825835,1.548853,1.53534
ANP32E,ETS2,2.294155,0.0217816,1.66191,0.4161022,3.341579,0.000833032,3.079338,1.645959
AQP9,FOS,6.7262,1.74E-11,10.75907,-0.3050988,-3.171955,0.001514162,-2.819828,-2.819828
AQP9,GLI3,3.887945,0.000101096,3.995264,0.2682837,2.288431,0.02211242,1.655364,1.653426
AQP9,NR4A3,3.155138,0.001604221,2.794736,0.271504,2.319099,0.02038969,1.690589,1.658344
AQP9,MITF,2.879704,0.003980481,2.400064,0.2777623,2.378697,0.01737393,1.760102,1.671921
AQP9,KLF4,2.663476,0.007733791,2.111608,-0.2325132,-2.480715,0.01311191,-1.882334,-1.683101
CD74,FOSL1,6.463563,1.02E-10,9.990268,0.1861742,2.212419,0.02693771,1.569639,1.569639
CD74,SP3,3.084569,0.002038476,2.690694,-0.2297402,-3.219251,0.001285259,-2.89101,-2.478716
CD74,KLF8,2.925213,0.0034422,2.463164,0.1895617,2.25666,0.02402935,1.619258,1.562426
CD74,MSANTD3,2.338502,0.01936124,1.713067,0.2383025,2.893194,0.003813459,2.418681,1.636372
CDCP1,FOSL1,7.797897,6.29E-15,14.20102,0.2657223,2.20426,0.02750607,1.560571,1.560571
CDCP1,FOS,7.005666,2.46E-12,11.60939,-0.3114246,-3.019072,0.0025355,-2.595936,-2.595936
DIP2C,CEBPB,4.571929,4.83E-06,5.315824,0.1994493,2.434124,0.01492789,1.826002,1.825863
DIP2C,FOS,4.153002,3.28E-05,4.483938,-0.1736014,-2.662576,0.007754497,-2.110446,-2.108627
DIP2C,GLI3,3.882046,0.000103581,3.984719,0.2084529,2.557132,0.01055391,1.976587,1.97239
DIXDC1,FOS,5.903026,3.57E-09,8.44746,-0.3624498,-3.428379,0.000607197,-3.216671,-3.216668
DIXDC1,MITF,3.058165,0.002226971,2.652285,0.3467691,2.813472,0.00490097,2.309718,2.147701
DIXDC1,ZNF480,2.93063,0.00338276,2.470729,-0.2913397,-2.802537,0.005070238,-2.294972,-2.073871
DIXDC1,NR6A1,2.625238,0.008658854,2.06254,-0.2471751,-2.413844,0.01578524,-1.801749,-1.614261
DIXDC1,NR1H3,2.327197,0.01995481,1.699952,0.4039797,3.316983,0.000909951,3.040982,1.680965
EVL,GLI3,4.693655,2.68E-06,5.571271,0.2364671,2.389109,0.01688931,1.772388,1.77232
EVL,CEBPB,4.229722,2.34E-05,4.63082,0.2567488,2.621155,0.008763232,2.057336,2.056188
EVL,KLF7,2.828683,0.004673996,2.330312,-0.2144448,-2.769848,0.005608253,-2.251172,-1.98902
EVL,ZBTB43,2.603847,0.00921838,2.035345,0.2347506,2.369471,0.01781357,1.749249,1.570769
FAM20C,FOS,7.11082,1.15E-12,11.93796,-0.1847704,-2.664039,0.007720862,-2.112334,-2.112334
FAM20C,TRPS1,2.404654,0.01618779,1.790813,-0.2689578,-3.786367,0.000152866,-3.815689,-1.786796
FCMR,FOS,7.710622,1.25E-14,13.90238,-0.2636895,-2.73108,0.006312714,-2.199784,-2.199784
FCMR,KLF7,2.365178,0.01802141,1.744211,-0.3637812,-3.667637,0.000244802,-3.611185,-1.738456
FNBP1L,JUND,10.12486,4.29E-24,23.36796,0.2220544,2.591843,0.009546337,2.020163,2.020163
FNBP1L,NFE2L2,6.026589,1.67E-09,8.776099,-0.1659413,-2.240245,0.02507502,-1.600759,-1.600759
FNBP1L,ATF4,2.877158,0.004012747,2.396558,0.243768,2.862263,0.004206274,2.376102,2.086073
FNBP1L,ZBTB20,2.525405,0.01155651,1.937173,-0.2356445,-3.108327,0.0018815,-2.725496,-1.872368
GUSB,FOS,7.777579,7.39E-15,14.13121,-0.3740451,-3.507087,0.000453042,-3.343862,-3.343862
GUSB,ZNF480,2.554304,0.01064003,1.973057,-0.2813408,-2.689929,0.007146724,-2.145893,-1.751764
IL1RN,FOS,9.22624,2.80E-20,19.55238,-0.2864927,-2.893671,0.003807668,-2.419341,-2.419341
IL1RN,ATF4,3.715537,0.000202772,3.692991,0.2929723,2.466173,0.01365652,1.86466,1.858346
IL1RN,MSANTD3,2.635318,0.008405847,2.075419,0.3207898,2.723475,0.006459906,2.189774,1.829402
NPR1,FOS,7.528047,5.15E-14,13.28815,-0.2452917,-2.641114,0.008263402,-2.082841,-2.082841
NPR1,CEBPB,3.445213,0.000570611,3.24366,0.2975104,2.678358,0.007398408,2.130862,2.098825
NPR1,KLF7,2.710715,0.006713825,2.17303,-0.2923071,-3.101866,0.001923053,-2.716009,-2.064293
PRAM1,FOS,4.669614,3.02E-06,5.52033,-0.2279917,-2.79727,0.005153643,-2.287886,-2.287633
PRAM1,GLI3,3.780611,0.000156444,3.805641,0.2587348,2.589599,0.009608766,2.017332,2.010385
PRAM1,CEBPB,3.431636,0.000599952,3.221884,0.224213,2.207528,0.02727718,1.564201,1.555007
RAP1GAP,CEBPB,5.12024,3.05E-07,6.51549,0.2734409,3.023429,0.002499274,2.602186,2.602133
RAP1GAP,GLI3,3.451415,0.000557655,3.253635,0.2154686,2.324115,0.02011935,1.696386,1.684748
RAP1GAP,TRPS1,2.862528,0.004202766,2.376465,-0.3286919,-4.240038,2.23E-05,-4.650758,-2.374171
RAP1GAP,NR6A1,2.248948,0.02451578,1.610554,-0.272319,-3.560017,0.000370831,-3.430824,-1.604193
SEMA3C,FOS,7.008049,2.42E-12,11.61679,-0.2723085,-2.896166,0.00377752,-2.422793,-2.422793
SEMA3C,FOSL2,6.099552,1.06E-09,8.973196,0.2481433,2.375293,0.01753503,1.756094,1.756094
SEMA3C,THRB,3.457991,0.00054422,3.264226,0.3531181,3.438543,0.000584854,3.232953,2.9474
SHC3,JDP2,2.663082,0.007742865,2.111098,0.2879879,2.909696,0.003617807,2.441555,1.945668
SHC3,JUND,2.290158,0.02201216,1.657337,0.2904249,2.934583,0.00333996,2.476259,1.597247
SLC15A5,FOS,6.648794,2.96E-11,10.52944,-0.2312355,-2.574782,0.01003034,-1.998685,-1.998685
SLC15A5,ZNF480,2.941704,0.003264118,2.486234,-0.2094268,-2.35461,0.01854215,-1.73184,-1.662626
SLC15A5,NR6A1,2.874786,0.004043011,2.393295,-0.2972671,-3.24141,0.001189401,-2.924672,-2.281697
SLC30A3,FOS,7.953231,1.82E-15,14.74062,-0.2594901,-2.950915,0.003168337,-2.499169,-2.499169
SLC30A3,ATF4,4.585226,4.53E-06,5.343428,0.2552608,2.450634,0.01426048,1.845866,1.84573
SLC30A3,TRPS1,3.097734,0.001950065,2.709951,-0.4410426,-4.85604,1.20E-06,-5.9217,-2.709685
SLC39A8,JUND,9.0058,2.14E-19,18.66938,0.2974498,2.71227,0.006682419,2.175066,2.175066
SLC39A8,FOSL1,8.349519,6.85E-17,16.16405,0.2749982,2.500599,0.01239834,1.906636,1.906636
SLC39A8,JDP2,7.622554,2.49E-14,13.60432,0.2387758,2.1591,0.0308424,1.510852,1.510852
SLC39A8,ATF4,4.211004,2.54E-05,4.59476,0.2592371,2.352006,0.01867248,1.728798,1.728218
SLC39A8,CREB5,2.263552,0.02360166,1.627057,0.351423,3.22112,0.001276905,2.893842,1.604701
SPP1,JUNB,8.364869,6.02E-17,16.22053,-0.233351,-2.247362,0.0246169,-1.608767,-1.608767
SPP1,JUND,7.970883,1.58E-15,14.8026,0.2944038,2.831361,0.004635044,2.333946,2.333946
SPP1,JDP2,5.866469,4.45E-09,8.351472,0.3133993,3.014159,0.002576931,2.588897,2.588896
SPP1,AHR,2.703079,0.006870032,2.163041,-0.3182075,-3.063959,0.002184291,-2.660689,-2.043864
